id,value,color,imagename
CL,,,
CL.2000,,,
CL.2000.Bayern Munich,1,#6DB33F,BayernMunich
CL.2000.Valencia CF,1,#FF9900,Valencia
CL.1999,,,
CL.1999.Real Madrid,3,#6DB33F,RealMadrid
CL.1999.Valencia CF,0,#FF9900,Valencia
CL.1998,,,
CL.1998.Manchester United,2,#6DB33F,ManchesterUnited
CL.1998.Bayern Munich,1,#FF9900,BayernMunich
CL.1997,,,
CL.1997.Real Madrid,1,#6DB33F,RealMadrid
CL.1997.Juventus,0,#FF9900,Juventus
CL.1996,,,
CL.1996.Borussia Dortmund,3,#6DB33F,BorussiaDortmund
CL.1996.Juventus,1,#FF9900,Juventus
